cluster;1;2;3
is_chain_mean;0.5620047999473978;0.3419401896425966;0.27342220656174143
product_score_mean;-0.042479846517985476;-0.05845494241919027;-0.10238815137456764
vendor_score_mean;-0.06595364927038444;-0.10954329727437645;-0.1975886906483916
daytime_orders_mean;0.06726550213121356;0.048558996525494676;0.028077004821190868
evening_orders_mean;0.06303468639260272;0.014660000685430144;0.02274474861973896
chain_vendor_interaction_mean;0.0016578608588574168;-0.007100791707939168;-0.03521469925093389
CLV_Score_mean;-0.04621643752901892;0.08941338927412706;0.003521803566124189
value_retention_mean;0.02371219852832467;0.6532388965613882;-0.1894362073152589
value_growth_mean;0.1023507024052372;0.5687411145210899;-0.21358237403383154
growth_momentum_mean;0.1014920272190138;0.5541188862392772;-0.2091467567586961
spend_consistency_mean;0.09442309820053386;0.5859223748635211;-0.21347316453967025
avg_order_value_mean;0.09358661712719175;0.5827861542074269;-0.2121333941614126
active_spend_rate_mean;0.25658870711463116;0.17877080025132241;-0.2007596581268377
Beverages_Cafe_mean;0.09560860705955071;0.09468988288236098;0.0776965181737305
Desserts_Snacks_mean;0.039080849637530474;0.4935883306772362;0.0005066079276637666
General_Asian_mean;0.10085773162855861;0.23793740507634317;0.17386441129854815
Main_Dishes_mean;0.40514914840961397;0.002111375989843816;0.0009523839816973958
Other_Asian_mean;0.1894174954715411;0.09567835394618156;0.1534327024803118
Western_mean;0.1772785928202165;0.1391269943949946;0.21085448573902812
last_promo_mean;0.8495906894171023;0.8962800875273523;0.9093258163025605
payment_method_mean;1.019035407831147;1.0431072210065646;1.005402865867982
customer_region_0_mean;0.1341355163231088;0.11181619256017505;0.10946676062955132
customer_region_1_mean;0.5054739126146562;0.07396061269146609;0.19767441860465115
customer_region_2_mean;0.29756386231383763;0.053172866520787745;0.3693915903218229
customer_region_3_mean;0.06282670874839728;0.7610503282275711;0.32346723044397463
DOW_0_mean;0.8679356938554098;0.6094091903719913;0.36028893587033123
DOW_1_mean;0.8898313443140349;0.5993435448577681;0.37174066243833687
DOW_2_mean;0.923562481507052;0.6345733041575492;0.3859525487432464
DOW_3_mean;0.9604497484959069;0.6304157549234136;0.4183697439511393
DOW_4_mean;1.0143012131373903;0.6442013129102845;0.49207188160676535
DOW_5_mean;0.9535457145675116;0.6608315098468271;0.4771552736669016
DOW_6_mean;1.0302791202288195;0.7205689277899343;0.5117453605825699
is_chain_std;0.34278659622940816;0.3038285558807125;0.2667632603088548
product_score_std;0.07740050582184756;0.07416708610656945;0.06737653022546312
vendor_score_std;0.14478636244900003;0.14343172295464682;0.11498672931038185
daytime_orders_std;0.08954148329034974;0.053498707500156464;0.039923399821508734
evening_orders_std;0.07925856582776958;0.03367148389321212;0.03629368261985116
chain_vendor_interaction_std;0.07725177523438989;0.05459886843598856;0.04761135886990097
CLV_Score_std;1.0231886233665866;1.006994586088097;0.9823673727190829
value_retention_std;0.9764162989568035;1.1867547983871736;0.8761216472240055
value_growth_std;1.0578003450105273;1.1547660795050274;0.8373739911914702
growth_momentum_std;1.075757643534082;1.2650603466070136;0.7830401461036876
spend_consistency_std;1.0575786774804101;1.1454110817536682;0.8383909946116256
avg_order_value_std;1.05383902983504;1.1496397655137367;0.8406213137491415
active_spend_rate_std;1.1341712111482427;1.2760282259901865;0.7569761351444697
Beverages_Cafe_std;0.18207456473858313;0.19267336235058793;0.17406243558215712
Desserts_Snacks_std;0.12026374319548987;0.14567257611903378;0.009221771225961907
General_Asian_std;0.17796840835937922;0.2576386603499957;0.2264510665109419
Main_Dishes_std;0.13822266347812553;0.02518633660486428;0.012306905011428454
Other_Asian_std;0.2029874970193212;0.1732359209364281;0.19414918028928177
Western_std;0.2174667683366687;0.21352843676178973;0.23142699396669972
last_promo_std;1.0970658782710483;1.1205356215299582;1.0883343540470647
payment_method_std;0.5766658617488867;0.5885215379831943;0.6259545098127942
customer_region_0_std;0.34081466489271733;0.3151746626558794;0.3122331087413859
customer_region_1_std;0.49999469299313076;0.26173542119703447;0.3982568987568904
customer_region_2_std;0.4572091726978452;0.22440261077242704;0.482654248951558
customer_region_3_std;0.2426629786759667;0.4264886019117363;0.4678130327138628
DOW_0_std;1.3501337363914983;0.961708942183443;0.7002263843896521
DOW_1_std;1.3987827477275312;0.9618912881482463;0.7243948149549373
DOW_2_std;1.3864519664787942;0.9727899530888571;0.7335246206099018
DOW_3_std;1.4018538985377278;0.9944882255867769;0.7701611345310733
DOW_4_std;1.4222441042170606;0.9589371047846847;0.8124078058121743
DOW_5_std;1.4105512281964352;0.9669849711332552;0.7865565041156967
DOW_6_std;1.5260512907272592;1.1136124761083335;0.853332228893985
is_chain_count;9419;3608;12674
product_score_count;10139;4570;17028
vendor_score_count;10139;4570;17028
daytime_orders_count;8162;3849;10950
evening_orders_count;8052;1451;8662
chain_vendor_interaction_count;9419;3608;12674
CLV_Score_count;10139;4570;17028
value_retention_count;10139;4570;17028
value_growth_count;10139;4570;17028
growth_momentum_count;10139;4570;17028
spend_consistency_count;10139;4570;17028
avg_order_value_count;10139;4570;17028
active_spend_rate_count;10139;4570;17028
Beverages_Cafe_count;2559;971;3136
Desserts_Snacks_count;1151;4570;55
General_Asian_count;2835;2260;6801
Main_Dishes_count;10139;40;110
Other_Asian_count;5342;1151;7134
Western_count;4765;1484;8499
last_promo_count;4502;2135;8407
payment_method_count;8548;3873;13738
customer_region_0_count;1360;511;1864
customer_region_1_count;5125;338;3366
customer_region_2_count;3017;243;6290
customer_region_3_count;637;3478;5508
DOW_0_count;4731;1842;4670
DOW_1_count;4797;1788;4733
DOW_2_count;4973;1886;4912
DOW_3_count;5143;1861;5252
DOW_4_count;5452;1942;6090
DOW_5_count;5131;1977;5983
DOW_6_count;5182;2015;6171
counts;10139;4570;17028
